,Name of movie,Year of release,Watchtime,Movie Rating,MetaScore,Votes,Gross,Description,Director,Stars
677,Seven: Os Sete Crimes Capitais,1995,127,8.6,65,"1,596,916",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
678,O Exterminador do Futuro 2 - O Julgamento Final,1991,137,8.6,75,"1,073,324",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
679,O Silêncio dos Inocentes,1991,118,8.6,85,"1,392,619",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
680,Guerra nas Estrelas,1977,121,8.6,90,"1,331,035",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']"
681,Harakiri,1962,133,8.6,85,"54,579",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']"
682,Os Sete Samurais,1954,207,8.6,98,"340,548",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
683,A Felicidade Não se Compra,1946,130,8.6,89,"446,945",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
684,Asuran,2019,141,8.5,^^^^^^,"26,865",*****,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",Vetrimaaran,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']"
685,Parasita,2019,132,8.5,96,"752,500",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"['Song Kang-ho', 'Sun-kyun Lee', 'Cho Yeo-jeong', 'Choi Woo-sik']"
686,Whiplash: Em Busca da Perfeição,2014,106,8.5,88,"816,563",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
687,Intocáveis,2011,112,8.5,57,"836,053",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Directors:Olivier Nakache, Éric Toledano","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']"
688,K.G.F: Chapter 2,2022,168,8.5,^^^^^^,"108,514",*****,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty']"
689,Sardar Udham,2021,164,8.5,^^^^^^,"39,886",*****,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']"
690,O Grande Truque,2006,130,8.5,66,"1,299,943",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']"
691,Os Infiltrados,2006,151,8.5,85,"1,292,951",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']"
692,O Pianista,2002,150,8.5,85,"809,537",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']"
693,Gladiador,2000,155,8.5,67,"1,461,495",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
694,A Outra História Americana,1998,119,8.5,62,"1,100,737",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']"
695,Os Suspeitos,1995,106,8.5,77,"1,064,896",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']"
696,O Profissional,1994,110,8.5,64,"1,132,303",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
697,O Rei Leão,1994,88,8.5,88,"1,030,436",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Directors:Roger Allers, Rob Minkoff","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']"
698,Cinema Paradiso,1988,155,8.5,80,"255,909",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']"
699,Túmulo dos Vagalumes,1988,89,8.5,94,"268,813",#49,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']"
700,Um Sonho de Liberdade,1994,142,9.3,81,"2,601,237",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
701,O Poderoso Chefão,1972,175,9.2,100,"1,796,728",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
702,Batman: O Cavaleiro das Trevas,2008,152,9.0,84,"2,572,733",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
703,O Senhor dos Anéis: O Retorno do Rei,2003,201,9.0,94,"1,786,535",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
704,A Lista de Schindler,1993,195,9.0,94,"1,322,955",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
705,O Poderoso Chefão II,1974,202,9.0,90,"1,237,983",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
706,12 Homens e uma Sentença,1957,96,9.0,96,"768,596",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
707,Jai Bhim,2021,164,8.9,^^^^^^,"190,996",#246,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
708,Pulp Fiction: Tempo de Violência,1994,154,8.9,94,"1,994,028",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
709,A Origem,2010,148,8.8,74,"2,282,520",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
710,O Senhor dos Anéis: As Duas Torres,2002,179,8.8,87,"1,613,487",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
711,Clube da Luta,1999,139,8.8,66,"2,048,834",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
712,O Senhor dos Anéis: A Sociedade do Anel,2001,178,8.8,92,"1,807,607",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
713,Forrest Gump: O Contador de Histórias,1994,142,8.8,82,"2,009,700",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
714,Três Homens em Conflito,1966,161,8.8,90,"746,075",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
715,Soorarai Pottru,2020,153,8.7,^^^^^^,"110,955",*****,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Urvashi']"
716,Matrix,1999,136,8.7,73,"1,867,602",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
717,Os Bons Companheiros,1990,145,8.7,90,"1,125,018",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
718,O Império Contra-Ataca,1980,124,8.7,82,"1,258,937",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
719,Um Estranho no Ninho,1975,133,8.7,84,"987,591",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
720,Top Gun: Maverick,2022,130,8.6,78,"182,706",#43,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground",Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
721,Interestelar,2014,169,8.6,74,"1,743,778",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
722,Cidade de Deus,2002,130,8.6,79,"743,975",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Directors:Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
723,A Viagem de Chihiro,2001,125,8.6,96,"737,425",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
724,O Resgate do Soldado Ryan,1998,169,8.6,91,"1,354,360",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
725,À Espera de um Milagre,1999,189,8.6,61,"1,264,642",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
726,A Vida é Bela,1997,116,8.6,59,"679,593",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
727,Seven: Os Sete Crimes Capitais,1995,127,8.6,65,"1,596,916",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
